x,y,z
47.82,63.84,14.42
47.78,63.85,14.4
47.73,63.86,14.39
47.68,63.87,14.38
47.64,63.87,14.36
46.95,63.96,14.19
46.9,63.97,14.18
46.87,63.98,14.17
46.81,63.98,14.16
46.76,63.99,14.15
46.72,64,14.14
46.66,64.01,14.12
46.61,64.02,14.1
46.56,64.02,14.1
46.5,64.03,14.08
46.46,64.04,14.07
33.97,25.62,53.89
45.73,64.15,13.87
45.75,64.33,13.7
45.69,64.34,13.7
45.65,64.34,13.69
45.62,64.35,13.67
45.56,64.36,13.66
45.51,64.36,13.65
45.46,64.36,13.64
45.4,64.37,13.63
45.36,64.38,13.62
45.3,64.38,13.61
44.6,64.44,13.45
44.54,64.45,13.44
44.49,64.46,13.43
44.43,64.47,13.41
44.4,64.48,13.4
44.36,64.48,13.39
44.29,64.49,13.38
44.25,64.49,13.37
44.19,64.49,13.36
44.14,64.5,13.34
44.08,64.5,13.34
44.04,64.51,13.32
43.33,64.58,13.17
43.28,64.59,13.15
43.23,64.59,13.14
43.18,64.6,13.13
43.14,64.61,13.12
43.08,64.62,13.1
43.03,64.62,13.1
42.98,64.62,13.08
42.92,64.63,13.07
42.87,64.63,13.06
42.84,64.64,13.05
42.77,64.65,13.04
42.06,64.73,12.88
42.03,64.73,12.87
41.98,64.74,12.85
41.91,64.75,12.84
41.87,64.75,12.83
41.8,64.75,12.82
41.75,64.76,12.81
41.71,64.76,12.79
41.64,64.77,12.78
41.59,64.77,12.77
41.56,64.78,12.76
41.5,64.78,12.75
40.78,64.87,12.58
